,Screen Name,User Name,Tweet Created At,Tweet Text,Tweet Link,User Location,Tweet Coordinates,Retweet Count,Retweeted,Favorited,Replied
42,birpendfeui,BiroPendidikan FEBUI,2019-11-20 06:42:20,"[ECEA] Pengantar Akuntansi 1 dosen Wasilah Kuliah hari Kamis,21/11 DITIADAKAN",twitter.com/i/web/status/1197042473953923073,"Depok, West Java",,0,False,False,
43,birpendfeui,BiroPendidikan FEBUI,2019-11-20 04:06:55,"[ECMU] MRB dosen Anya / Rizal Kuliah Akan diberikan hari Kamis,21/11 Jam 14.00 Ruang B.109 (2 sesi)",twitter.com/i/web/status/1197003363398799361,"Depok, West Java",,0,False,False,
44,birpendfeui,BiroPendidikan FEBUI,2019-11-20 02:09:54,"[ECMU] Pengantar Manajemen Pemasaran -A dosen Rambat Lupioadi Kuliah Hari kamis,21/11 DITIADAKAN",twitter.com/i/web/status/1196973912921296896,"Depok, West Java",,0,False,False,
45,birpendfeui,BiroPendidikan FEBUI,2019-11-20 01:44:16,"[ECIE] Ekonomi Kependudukan dosen Dwi Handayani Kuliah Tamu Akan diberikan hari Rabu,20/11 Jam 11.00 Ruang A.111",twitter.com/i/web/status/1196967463868493826,"Depok, West Java",,0,False,False,
46,birpendfeui,BiroPendidikan FEBUI,2019-11-19 08:34:49,"[ECFE] APEB dosen Paksi CKW kuliah pengganti akan diberikan hari Rabu, 20/11 jam 16.00 R. A.109",twitter.com/i/web/status/1196708394213629952,"Depok, West Java",,0,False,False,
47,birpendfeui,BiroPendidikan FEBUI,2019-11-19 07:42:13,"[ECMU] Perilaku Keorganisasian dosen Widya Santi Saleh, kuliah pengganti akan diberikan hari Jumat, 22/11 jam 08.00 R. B.109",twitter.com/i/web/status/1196695154725310464,"Depok, West Java",,0,False,False,
48,birpendfeui,BiroPendidikan FEBUI,2019-11-19 07:06:07,"[ECIE] Kewiraan Islam dosen Anya Safira kuliah pengganti akan diberikan hari Rabu, 20/11 jam 16.30 R. A.105",twitter.com/i/web/status/1196686073176346624,"Depok, West Java",,0,False,False,
49,birpendfeui,BiroPendidikan FEBUI,2019-11-19 07:04:00,"[ECAU] PKBTPA dosen Miranti Kartika Dewi kuliah pengganti akan diberikan hari Rabu, 20/11 jam 08.00 R. B.107",twitter.com/i/web/status/1196685539283390465,"Depok, West Java",,0,False,False,
50,birpendfeui,BiroPendidikan FEBUI,2019-11-19 07:02:15,"[ECIE] Manajemen Pemasaran Islam dosen Anya Safira kuliah pengganti akan diberikan hari Rabu, 20/11 jam 08.00 R. B.106",twitter.com/i/web/status/1196685097971306496,"Depok, West Java",,0,False,False,
51,birpendfeui,BiroPendidikan FEBUI,2019-11-19 04:18:07,"[ECMU] Manajemen Produk Harga (I) dosen Ira Iriyanti kuliah pengganti akan diberikan hari Rabu, 20/11 jam 08.00 R. B.105",twitter.com/i/web/status/1196643791685373958,"Depok, West Java",,0,False,False,
52,birpendfeui,BiroPendidikan FEBUI,2019-11-19 04:15:31,"[ECMU] MPI  (B) dosen Sri Daryanti /Hapsari S., kuliah pengganti akan diberikan hari Rabu, 20/11 jam 08.00 R. B.109",twitter.com/i/web/status/1196643140632866816,"Depok, West Java",,0,False,False,
53,birpendfeui,BiroPendidikan FEBUI,2019-11-19 04:13:12,"[ECMU] Struktur Proses Organisasi dosen Putri Mega Desiana kuliah pengganti akan diberikan hari Rabu, 20/11 jam 08.00 R. A.206",twitter.com/i/web/status/1196642555024199681,"Depok, West Java",,0,False,False,
54,birpendfeui,BiroPendidikan FEBUI,2019-11-19 04:07:39,"[ECEU] Matematika Ekonomi Lanjutan dosen Nachrowi kuliah pengganti akan diberikan hari Selasa, 19/11 jam 14.00 R. A.103",twitter.com/i/web/status/1196641159411449856,"Depok, West Java",,0,False,False,
55,birpendfeui,BiroPendidikan FEBUI,2019-11-19 04:06:40,"[ECEU] Makroekonomi 2 dosen Febrio Kacaribu, kuliah pengganti akan diberikan hari Selasa, 19/11 jam16.30 R. A.108",twitter.com/i/web/status/1196640911360315392,"Depok, West Java",,0,False,False,
56,birpendfeui,BiroPendidikan FEBUI,2019-11-19 03:26:00,"[ECEU] Pengantar Ekonomi 1 (O) dosen Hera Susanti kuliah pengganti akan diberikan hari Kamis, 21/11 jam 11.00 R. A.206",twitter.com/i/web/status/1196630676486815745,"Depok, West Java",,0,False,False,
57,birpendfeui,BiroPendidikan FEBUI,2019-11-19 03:25:04,"[ECAU] Bisnis Global dosen Vitria Indriani kuliah penggantiakan diberikan hari Rabu, 20/11 jam 16.30 R. A.104",twitter.com/i/web/status/1196630440615919618,"Depok, West Java",,0,False,False,
58,birpendfeui,BiroPendidikan FEBUI,2019-11-19 03:24:03,"[ECEU] Matematika Ekonomi Dan Bisnis kuliah pengganti akan diberikan hari Rabu, 20/11 jam 08.30 R. A.113",twitter.com/i/web/status/1196630187066085376,"Depok, West Java",,0,False,False,
59,birpendfeui,BiroPendidikan FEBUI,2019-11-19 03:19:38,"[ECMU] Manajemen stratejik - E dosen Fandis E / Darwin Z. Saleh Kuliah Hari Rabu,20/11 Jam.11.00 Ruang A.206 ( Pindah Sementara)",twitter.com/i/web/status/1196629076225622016,"Depok, West Java",,0,False,False,
60,birpendfeui,BiroPendidikan FEBUI,2019-11-19 03:18:39,"[ECEU] Mikroekonomi dosen Muhammad Hanri, kuliah hari Kamis, 21/11 DITIADAKAN",twitter.com/i/web/status/1196628826161156098,"Depok, West Java",,0,False,False,
61,birpendfeui,BiroPendidikan FEBUI,2019-11-19 03:18:04,"[ECIE) Matekbis -G dosen Sartika Djamaluddin Kuliah Hari Rabu,20/11 Jam 08.00 Ruang A.207 (pindah Sementara)",twitter.com/i/web/status/1196628682955096064,"Depok, West Java",,0,False,False,
62,birpendfeui,BiroPendidikan FEBUI,2019-11-19 03:17:47,"]ECAU] Audit Internal dosen Ludovicus Sensi W, kuliah hari Selasa, 19/11 DITIADAKAN diganti hari Jumat, 22/11 jam 10.30 - 14.00 R. A.110",twitter.com/i/web/status/1196628609177272320,"Depok, West Java",,0,False,False,
63,birpendfeui,BiroPendidikan FEBUI,2019-11-19 02:06:39,"[ECIE] Mikro Ekonomi 1 dosen Muhammad Handry Kuliah Hari Kamis,21/11 DITIADAKAN",twitter.com/i/web/status/1196610706595926016,"Depok, West Java",,0,False,False,
64,birpendfeui,BiroPendidikan FEBUI,2019-11-19 01:20:08,"[ECIE] Matematika Ekonomi dan Bisnis dosen Hilda Fachrizah Kuliah Hari Rabu,20/11 DITIADAKAN Diganti Hari Kamis,21/11 Jam 14.00 Ruang A.306",twitter.com/i/web/status/1196599003644747778,"Depok, West Java",,0,False,False,
65,birpendfeui,BiroPendidikan FEBUI,2019-11-18 07:23:21,"[ECEU] Seminar Ekonomi Pembangunan dosen Moh. Ikhsan kuliah pengganti akan diberikan hari Kamis, 21/11 jam 16.30 R. A.113",twitter.com/i/web/status/1196328020920786945,"Depok, West Java",,0,False,False,
66,birpendfeui,BiroPendidikan FEBUI,2019-11-18 07:22:19,"[ECAU] Akuntansi Sektor Publik dosen Ratna Wardhani, kuliah pengganti akan diberikan hari Kamis, 21/11 jam 11.00 R. A.103",twitter.com/i/web/status/1196327760328658944,"Depok, West Java",,0,False,False,
67,birpendfeui,BiroPendidikan FEBUI,2019-11-18 07:02:51,"[ECEU] Sejarah Pemikiran dan Kelembagaan Ekonomi dosen Femmy Roeslan kuliah hari Jumat, 22/11 DITIADAKAN diganti hari Kamis, 21/11 jam 08.00 R. A.111",twitter.com/i/web/status/1196322861645844481,"Depok, West Java",,0,False,False,
68,birpendfeui,BiroPendidikan FEBUI,2019-11-18 06:51:08,"[ECMU] Komunikasi Pemesaran (B) dosen Elevita Yuliati / Sumiyarto kuliah pengganti akan diberikan hari Senin, 25/11 jam 14.00 R. A.208",twitter.com/i/web/status/1196319911414390784,"Depok, West Java",,0,False,False,
69,birpendfeui,BiroPendidikan FEBUI,2019-11-18 06:47:30,"[ECAU] Akuntansi Keunangan 1 dosen Sylvia Veronica kuliah hari Senin, 18/11 ditiadakan DIGANTI HARI sENIN, 25/11 JAM 08.00 R. A.109",twitter.com/i/web/status/1196318997894942722,"Depok, West Java",,0,False,False,
70,birpendfeui,BiroPendidikan FEBUI,2019-11-18 06:43:46,"[ECAU] Akuntansi Keuangan 1 dosen Selvy Monalisa, kuliah pengganti akan diberikan hari Sabtu, 23/11 jam 08.00 R. A.112",twitter.com/i/web/status/1196318060711276544,"Depok, West Java",,0,False,False,
