,pidlink,year,age,sex,single,year_of_schooling,tobacco_habit,lfpr,urban,attended_kindergarten,hh_work_size,change_pce,pce_t,pce_t1,rich_pce,per_change_pce_t,increase_desil_pce_t_relative,change_asset,asset_t,asset_t1,rich_asset,per_change_asset_t,increase_desil_asset_t_relative,NEET,tk01,main_activity
7779,315123103,2014,16.0,0,1,9,0.0,0.5497131931166348,1.0,0,1.0,0.9736480549306472,1.6569562897461194,0.6833082348154722,0,1.4249031481284307,2,0.6912141801480434,2.132072843285551,1.4408586631375078,1,0.4797237909809323,-1,0,2,Education
7780,315234204,2014,16.0,1,1,10,1.0,0.5497131931166348,0.0,1,1.0,0.8375122602862665,1.2451264867865623,0.4076142265002959,0,2.0546688654049188,4,0.8222273908591158,0.860962122944332,0.038734732085216265,0,21.227135095454347,5,0,2,Education
7781,315410012,2014,16.0,0,1,10,0.0,0.5497131931166348,0.0,1,1.0,0.4266359005147352,0.6724342643154736,0.24579836380073836,0,1.735714973516246,4,0.09943943724647197,0.7514730718494416,0.6520336346029696,0,0.1525066069743806,-1,0,2,Education
7782,316170008,2014,16.0,0,1,10,0.0,0.6002044989775052,0.0,1,2.0,1.3710930304805424,1.8508721054381763,0.4797790749576339,0,2.857759127159963,4,-0.587593351303836,0.40014073520358806,0.9877340865074241,0,-0.5948902233206665,-5,0,2,Education
7783,316193103,2014,16.0,0,1,10,0.0,0.6002044989775052,0.0,1,1.0,-0.0021465652856811346,1.2257423953340736,1.2278889606197547,1,-0.0017481754087907873,-1,0.4948857832369946,1.5794565385630113,1.0845707553260167,0,0.4562964479788452,-1,0,2,Education
7784,316250007,2014,15.0,0,1,9,0.0,0.6002044989775052,0.0,1,1.0,0.0997051862843063,0.29638261123588794,0.19667742495158164,0,0.5069477918416508,0,0.4469449906750089,0.8073168850584821,0.36037189438347317,0,1.2402326531031107,1,0,2,Education
7785,316275104,2014,15.0,1,1,9,0.0,0.6002044989775052,0.0,0,2.0,-0.24786663922841728,0.311640729346446,0.5595073685748633,0,-0.4430087129321733,-5,0.139152240096584,0.4574351840647261,0.3182829439681421,0,0.4371966601845689,-1,0,2,Education
7786,317170004,2014,16.0,0,1,9,0.0,0.778642936596218,0.0,0,2.0,0.36443488355918485,0.6063803383675136,0.2419454548083287,0,1.5062687738767124,4,-0.03624092249406536,0.031208247882300484,0.06744917037636584,0,-0.5373071646669825,-1,0,2,Education
7787,317203105,2014,15.0,0,1,9,0.0,0.778642936596218,0.0,0,1.0,0.4413249602971905,0.717491456057735,0.27616649576054453,0,1.598039469204294,4,0.3743311021191037,0.5510477485510475,0.17671664643194387,0,2.118256031206794,2,0,2,Education
7788,317270010,2014,16.0,1,1,10,0.0,0.778642936596218,0.0,1,2.0,0.7021942949199116,1.2529722109990336,0.550777916079122,0,1.274913671046749,2,1.6854168430644456,2.0766215240303163,0.39120468096587074,0,4.308273712122284,3,0,2,Education
7789,318040013,2014,18.0,0,1,11,0.0,0.6839729119638827,1.0,1,1.0,0.15732428295027528,0.4497802667823705,0.2924559838320952,0,0.5379417472975977,1,0.054596019716660935,0.08292469906375388,0.028328679347092947,0,1.9272349073435895,0,0,2,Education
7790,318044105,2014,15.0,0,1,9,0.0,0.6839729119638827,1.0,1,1.0,0.15732428295027528,0.4497802667823705,0.2924559838320952,0,0.5379417472975977,1,0.054596019716660935,0.08292469906375388,0.028328679347092947,0,1.9272349073435895,0,0,2,Education
7791,318180015,2014,15.0,0,1,10,0.0,0.6839729119638827,1.0,1,3.0,-0.044973260375509305,1.5597661648740524,1.6047394252495617,1,-0.02802527293084687,0,7.421816358930656,8.092732973695941,0.6709166147652855,0,11.062203850067291,3,0,2,Education
7792,319173103,2014,16.0,1,1,10,0.0,0.6844106463878327,1.0,1,1.0,-0.48308726631980625,0.49114341032011255,0.9742306766399188,0,-0.4958653816834779,-5,0.5673443278238464,0.5725090405417289,0.005164712717882504,0,109.85012309773805,4,0,2,Education
7793,320053204,2014,16.0,1,1,10,0.0,0.5648567119155354,1.0,1,1.0,0.5917927152970947,1.148553381971404,0.5567606666743093,0,1.0629211988555904,2,-0.6242931216952186,0.1362020039906307,0.7604951256858492,0,-0.8209035148413378,-6,0,2,Education
7794,320101104,2014,15.0,0,1,9,0.0,0.5648567119155354,1.0,0,2.0,0.15368391112786495,0.4258841586516304,0.2722002475237654,0,0.5645987192368259,1,1.0918187018444772,1.3528880329660797,0.26106933112160263,0,4.182102498036901,4,0,2,Education
7795,320150010,2014,18.0,1,1,11,0.0,0.5648567119155354,1.0,0,2.0,0.3651166377953363,0.8227726248698706,0.45765598707453425,0,0.7977971404444297,1,-0.9419586247683246,0.09542816864752321,1.0373867934158478,0,-0.9080110049084943,-8,0,2,Education
7796,320150011,2014,16.0,1,1,10,0.0,0.5648567119155354,1.0,1,2.0,0.25395203906969516,0.7471733012539852,0.49322126218429,0,0.5148846137432069,1,-1.2604216580720617,0.3856164049622625,1.6460380630343243,1,-0.7657305662474092,-6,0,2,Education
7797,320170008,2014,16.0,0,1,9,0.0,0.5648567119155354,1.0,1,1.0,0.03826129639253273,0.6601457346067927,0.62188443821426,0,0.06152476897862241,-2,-0.09879796014924036,1.0878806541164223,1.1866786142656627,0,-0.08325586975406837,-2,0,2,Education
7798,320180008,2014,15.0,1,1,9,0.0,0.7406896551724138,0.0,1,1.0,0.638853212421761,1.1847660824114732,0.5459128699897122,0,1.1702475752839463,2,-0.8061252901907783,0.10977879581151834,0.9159040860022967,0,-0.880141602718821,-8,0,2,Education
7799,321090007,2014,15.0,1,1,9,0.0,0.5648567119155354,1.0,0,3.0,1.295620844473176,1.553627733392253,0.258006888919077,0,5.021652134565845,7,-0.590813631723994,0.15181751539862928,0.7426311471226233,0,-0.795568074424488,-6,0,2,Education
7800,321121104,2014,18.0,1,1,11,1.0,0.5648567119155354,1.0,1,2.0,0.6170262745991271,3.1507764460614207,2.5337501714622936,1,0.243522933534929,0,4.52378428593329,6.692981721176368,2.1691974352430776,1,2.0854645190129317,0,0,2,Education
7801,321220006,2014,15.0,1,1,9,1.0,0.5648567119155354,1.0,0,2.0,0.49778506798988476,1.1606662658866138,0.6628811978967291,0,0.7509416009525062,1,-1.2591841507308308,1.1486249981781902,2.407809148909021,1,-0.5229584542866977,-3,0,2,Education
7802,321260009,2014,16.0,0,1,10,0.0,0.5648567119155354,1.0,0,3.0,-0.6014052038055118,1.3181491658341555,1.9195543696396673,1,-0.3133045947109097,-1,-2.038094167220823,1.8281812570486682,3.866275424269491,1,-0.5271466575886554,-1,0,2,Education
7803,006043104,2014,15.0,1,1,9,0.0,0.6774729842061513,1.0,0,2.0,-0.37494424203382093,0.801669902935412,1.176614144969233,1,-0.3186637213541448,-3,0.12354002582217853,0.1638941653691715,0.040354139546992976,0,3.0613966053795894,1,0,2,Education
7804,006123103,2014,16.0,0,1,10,0.0,0.6774729842061513,0.0,0,2.0,0.14158644542687338,0.6900113341429874,0.5484248887161141,0,0.2581692558817548,-1,-0.5267812632334212,0.04916827829222323,0.5759495415256445,0,-0.9146309272823094,-6,0,2,Education
7805,028020003,2014,22.0,1,1,9,1.0,0.6782608695652174,0.0,0,1.0,-2.9240813875780964,0.5994111166033278,3.5234925041814242,1,-0.8298815405760079,-5,1.7726504937171819,2.3345100511092847,0.5618595573921028,0,3.1549707936713247,2,0,1,Employed
7806,028250006,2014,18.0,0,1,11,0.0,0.6782608695652174,0.0,1,3.0,-0.09569633596363811,0.22408244450364626,0.31977878046728436,0,-0.2992579301972431,-3,0.26051855756412834,0.5837305271980279,0.32321196963389953,0,0.806030042325525,0,0,1,Employed
7807,031281104,2014,15.0,1,1,9,0.0,0.6695736434108527,0.0,1,2.0,0.03875083573094967,0.396859341266213,0.3581085055352633,0,0.10820976081824407,-1,-0.4435613002655161,0.5261357087860382,0.9696970090515543,0,-0.4574225723345858,-4,0,2,Education
7808,040070003,2014,18.0,1,1,10,1.0,0.6828703703703703,0.0,0,1.0,0.28651727519473297,0.5701763769288968,0.2836591017341638,0,1.0100760858477502,2,0.1624830391415446,0.501326058687655,0.3388430195461104,0,0.47952305276701623,-1,0,1,Employed
7809,041220004,2014,19.0,0,0,10,0.0,0.6715017064846417,0.0,0,2.0,0.3584516075329444,0.6517713794713266,0.29331977193838216,0,1.2220506144681054,3,0.4536865490979616,0.6571453868395689,0.2034588377416073,0,2.2298689707160495,1,0,1,Employed
7810,048050004,2014,16.0,1,1,10,0.0,0.7113578138343296,0.0,0,2.0,0.039701106318210166,0.30189744647687944,0.26219634015866927,0,0.15141746942075876,-1,0.14920678097409457,0.1612196880750022,0.012012907100907636,0,12.420538985340295,1,0,1,Employed
7811,048294203,2014,15.0,1,1,10,1.0,0.7113578138343296,0.0,0,1.0,1.2475760431310974,1.8562808875432621,0.6087048444121647,0,2.0495582622410375,3,-0.5712019040175755,0.10952427056864979,0.6807261745862253,0,-0.839106714773788,-7,0,1,Employed
7812,053190007,2014,17.0,0,1,9,0.0,0.6082397003745318,0.0,0,2.0,-0.24556779439779902,0.3096815485798365,0.5552493429776355,0,-0.442265799146907,-5,-0.5257787081657808,0.14513790659950482,0.6709166147652855,0,-0.7836722129019267,-5,0,1,Employed
7813,123060007,2014,18.0,1,1,11,0.0,0.6009055627425615,1.0,1,1.0,0.12074206365483131,0.3905489635247695,0.26980689986993817,0,0.44751288315100785,0,0.32514670495846304,0.5954879516776231,0.2703412467191601,0,1.202726956779321,1,0,2,Education
7814,125210005,2014,19.0,0,0,10,0.0,0.7226443768996961,0.0,0,2.0,0.37311676256736376,0.6882523708299539,0.3151356082625902,0,1.1839879492655117,2,-2.5914501846955607,0.12225734653803466,2.713707531233595,1,-0.9549482230008556,-9,0,2,Education
7815,143140005,2014,20.0,1,1,11,1.0,0.5875462392108508,1.0,0,2.0,0.19733221554388186,0.3005574918688604,0.10322527632497852,0,1.9116656556348814,1,-0.030927067768348526,0.29996690027356376,0.3308939680419123,0,-0.09346519053025223,-2,0,1,Employed
7816,143220005,2014,15.0,0,1,10,0.0,0.5875462392108508,1.0,0,2.0,-1.1163318886150604,0.5611511836620763,1.6774830722771366,1,-0.6654802704504618,-5,0.05965811128959986,0.8704302661029595,0.8107721548133596,0,0.07358184532537776,-2,0,1,Employed
7817,155130009,2014,18.0,1,1,11,0.0,0.6107936507936508,1.0,1,2.0,0.4616921021924819,1.0525063983699374,0.5908142961774555,0,0.7814504577489256,1,0.04764088952792589,0.9675486171761281,0.9199077276482022,0,0.05178876978207652,-2,0,2,Education
7818,262040009,2014,17.0,1,1,10,1.0,0.6517094017094017,1.0,1,1.0,0.1785193873908672,0.43975976110426135,0.26124037371339415,0,0.6833529781530636,1,0.7326457646474334,0.9270691713242164,0.194423406676783,0,3.7683002122548546,4,0,2,Education
7819,275070005,2014,19.0,1,1,11,1.0,0.7186067827681026,1.0,0,2.0,2.30745932811258,2.6928492183057835,0.38538989019320374,0,5.987337464809479,5,0.4997132858663611,0.7002274632442531,0.200514177377892,0,2.492159369482358,2,0,1,Employed
7820,289110003,2014,23.0,0,0,9,0.0,0.5738916256157636,0.0,0,3.0,0.06899277217634547,0.328512713191336,0.25951994101499054,0,0.2658476720768069,-1,0.09155699736927975,0.34196310186305345,0.2504061044937737,0,0.36563404695893226,-1,0,1,Employed
7821,294423307,2014,16.0,1,1,9,0.0,0.7846153846153846,0.0,0,2.0,0.13042271882368917,0.27443151402281024,0.14400879519912108,0,0.9056580095913834,1,-0.2967529699566704,0.38058536844788043,0.6773383384045508,0,-0.4381163048524061,-5,0,2,Education
7822,295284104,2014,17.0,0,1,10,0.0,0.7846153846153846,1.0,1,1.0,0.669462490150495,0.9637562720350862,0.2942937818845912,0,2.274810177311283,5,1.8458837967453359,2.130974456885566,0.28509066014023016,0,6.474725604260007,4,0,2,Education
