level_0	hhid07	pid07	panel	tk01	tk02	tk03	tk04	tk01a	tk01b	tk01c	tk01d	tk25a9x	age	marstat	sex	link	hhsize	nonfood	food	total	kabid	nmkab2014	pce	sc05	sc21x	ar02b_07	hhid00	pid00	dl06	dl05a	dl07a	dl30	dl42	index	dl2type	dl16j	dl10	dl16c2	dl16e	dl11d	dl11e	dl11f	sw01	sw03b	kk01	kk02a	kk02c	nonfood00	food00	total00	pce00	change
1360	0422000	5	3	3	1			1	1	3	3		18	1	1	042200005	5	816378.42	486012.21	1302390.6	1609	OGAN KOMERING ULU TIMUR	1145557.8	2	11	3	0422000	5	74	8	1	1	3	3077	3	30	74			6			4	2	2	1	2	262173.83	279827.79	542001.6	409555.67	760389.03
1361	0422000	5	3	3	1			1	1	3	3		18	1	1	042200005	5	816378.42	486012.21	1302390.6	1609	OGAN KOMERING ULU TIMUR	1145557.8	2	11	3	0422000	5	74	8	1	1	3	3077	3	30	74			6			4	2	2	1	2	264403.91	282208.04	546611.93	413039.4	755778.7
1363	0422000	6	3	1				1	3	3	3		23	2	1	042200006	5	816378.42	486012.21	1302390.6	1609	OGAN KOMERING ULU TIMUR	1145557.8	2	11	5	0422000		74	7	3	3		3080	3	20	74	3				2003	4	2	3	0	4	262173.83	279827.79	542001.6	409555.67	760389.03
1364	0422000	6	3	1				1	3	3	3		23	2	1	042200006	5	816378.42	486012.21	1302390.6	1609	OGAN KOMERING ULU TIMUR	1145557.8	2	11	5	0422000		74	7	3	3		3080	3	20	74	3				2003	4	2	3	0	4	264403.91	282208.04	546611.93	413039.4	755778.7
1366	0422300	5	3	1				1	3	1	3		19	1	3	042230005	4	73435.91	211183.88	284619.79	1609	OGAN KOMERING ULU TIMUR	284619.79	2	11	3	0422300	5	2	7	3	3		3088	1	10	2	5	31.2			2001	3	2	2	2	2	103411.08	227242.99	330654.08	328018.36	-46034.285
1367	0422300	5	3	1				1	3	1	3		19	1	3	042230005	4	73435.91	211183.88	284619.79	1609	OGAN KOMERING ULU TIMUR	284619.79	2	11	3	0422300	5	2	7	3	3		3088	1	10	2	5	31.2			2001	3	2	2	2	2	104290.71	229175.95	333466.66	330808.52	-48846.866
1369	0422500	3	3	3	3	3	3	3	1	1	3		16	1	3	042250003	4	158475.33	548141.32	706616.65	1609	OGAN KOMERING ULU TIMUR	682482.36	2	11	3	0422500	3	74	6	1	1	3	3096	3	30	74			6			2	2	2	0	3	134668.05	289155.39	423823.43	413280.47	282793.22
1370	0422500	3	3	3	3	3	3	3	1	1	3		16	1	3	042250003	4	158475.33	548141.32	706616.65	1609	OGAN KOMERING ULU TIMUR	682482.36	2	11	3	0422500	3	74	6	1	1	3	3096	3	30	74			6			2	2	2	0	3	135813.55	291614.98	427428.52	416795.88	279188.13
1372	0422600	4	1	4	3	3	3	3	3	1	3		23	2	3	042260004	6	265061.61	221791.29	486852.89	1609	OGAN KOMERING ULU TIMUR	444748.22	2	11	3	0422600	4	2	5	3	3											3	2	2	0	2	69120.466	138581.38	207701.84	207701.86	279151.05
1373	0422600	4	1	4	3	3	3	3	3	1	3		23	2	3	042260004	6	265061.61	221791.29	486852.89	1609	OGAN KOMERING ULU TIMUR	444748.22	2	11	3	0422600	4	2	5	3	3											3	2	2	0	2	69708.412	139760.17	209468.58	209468.6	277384.32
