index,level_0,Scparfundraise,Scparinkind,Scsizeinkind,Pcont,Pcont_physical,Scrapbs,Screcrapbs,Scdistrapbs,Spinviterapbs,Spparentsrapbs,Pmtgrapbs,Prapbs,data_x,parent_input,School_management,bhs_score_,data_y,math_score_,nilai_bhs_indonesia,nilai_matematika,num_student,C1,grade4_student,grade4_do,grade456_student,grade456_do,data_x,dropoutrate_4,dropoutrate,index_id3,Anak_kerja,Jarak_sekolah,Biaya_kesokla,Waktu_tempuhsekolah,Incomertperbulan,Jumlah_anggotart,incomepercap_bulan,Perankomite_baseps_score,School_cont_p_score,School_cont_sp_score,School_cont_sc_score,School_cont_tc_score,School_condi_score,year_schooling_parent_wali,Usia_ortu,data_y,biayasekolah,nss,kabupaten,kecamatan,nama_sekolah,felect,pelect,atrain,alink,agrant,treat
10_endline,21,0.0,0,2,0.0,0,1,0,1,1,1,0.666666667,4.0,endline,0.1,0.80952381,46.04166667,endline,26.14583333,442,251,32,101033000000.0,25,0,81,0,endline,0.0,0.0,10,0.0,140.0,,7.666666667,911110.6667,3.666666667,248484.7273,2.555555556,2.9444444439999997,2.0,2.333333333,2.5,2.444444444,7.714285714,39.0,endline,33333.33,101000000000.0,BREBES,BANTARKAWUNG,SDN CIKUNING 01,0.0,0.0,0.0,0.0,1.0,Grant
110_baseline,22,0.0,1,3,0.0,0,0,0,1,1,1,0.0,1.333333333,baseline,0.35,0.47619047600000003,27.48148148,baseline,36.81481481,371,497,45,101033000000.0,48,0,145,0,baseline,0.0,0.0,110,0.666666667,270.0,,7.333333333,366666.6667,7.0,52380.95238,3,1.5,2.833333333,2.666666667,2.666666667,2.416666667,5,39.44444444,baseline,0.0,101000000000.0,BREBES,LOSARI,RANDEGAN 01,0.0,0.0,0.0,0.0,1.0,Grant
110_endline,23,9999999998.0,0,2,0.0,0,0,1,1,0,1,0.0,0.0,endline,0.2,0.428571429,30.07407407,endline,23.77777778,406,321,45,101033000000.0,35,0,127,0,endline,0.0,0.0,110,0.0,233.33333330000002,,6.666666667,994333.3333,5.333333333,186437.5,3,1.7222222219999999,2.0,2.5,2.333333333,2.138888889,6.428571429,47.28571429,endline,0.0,101000000000.0,BREBES,LOSARI,RANDEGAN 01,0.0,0.0,0.0,0.0,1.0,Grant
111_baseline,24,0.0,0,2,0.0,0,0,0,0,1,0,0.0,0.333333333,baseline,0.1,0.154761905,22.66666667,baseline,36.75,272,441,40,101033000000.0,43,0,119,0,baseline,0.0,0.0,111,0.0,8.333333332999999,,2.333333333,333333.3333,6.0,55555.55556,3,1.166666667,2.833333333,2.333333333,2.5,2.208333333,3,25.5,baseline,33000.0,101000000000.0,,,,0.0,0.0,0.0,0.0,0.0,Control
111_endline,25,24000.0,0,2,0.0,0,0,1,0,0,1,0.0,1.2,endline,0.10000024,0.32857142899999997,32.095238099999996,endline,22.95238095,337,241,35,101033000000.0,39,0,110,1,endline,0.0,0.009090909,111,0.5,515.0,,6.0,315000.0,4.5,70000.0,2.666666667,1.9166666669999999,2.666666667,2.666666667,2.0,2.3125,4.25,40.6,endline,1000.0,101000000000.0,,,,0.0,0.0,0.0,0.0,0.0,Control
111_endline,26,0.0,0,2,0.0,0,0,0,0,0,0,0.0,1.2,endline,0.1,0.042857143,32.095238099999996,endline,22.95238095,337,241,35,101033000000.0,39,0,110,1,endline,0.0,0.009090909,111,0.5,515.0,,6.0,315000.0,4.5,70000.0,2.666666667,1.9166666669999999,2.666666667,2.666666667,2.0,2.3125,4.25,40.6,endline,1000.0,101000000000.0,,,,0.0,0.0,0.0,0.0,0.0,Control
112_baseline,27,0.0,0,2,0.0,0,0,0,1,1,0,0.333333333,1.0,baseline,0.1,0.369047619,33.41463415,baseline,44.79674797,411,551,41,101033000000.0,45,0,104,0,baseline,0.0,0.0,112,0.0,216.66666669999998,,11.66666667,566666.6667,4.0,141666.6667,2.333333333,1.277777778,2.666666667,1.8333333330000001,3.0,2.194444445,4.5,32.0,baseline,0.0,101000000000.0,BREBES,SONGGOM,SDN KEMAKMURAN2,0.0,1.0,0.0,1.0,0.0,"Grant, BPD Link, Election"
112_endline,28,0.0,1,2,0.0,0,1,0,0,1,0,0.333333333,0.0,endline,0.3,0.333333333,30.22727273,endline,28.86363636,399,381,44,101033000000.0,44,0,126,0,endline,0.0,0.0,112,0.333333333,133.3333333,,8.333333332999999,4283333.333000001,3.666666667,1168181.818,2.888888889,2.555555556,0.0,2.833333333,2.666666667,2.013888889,7.5,43.2,endline,0.0,101000000000.0,BREBES,SONGGOM,SDN KEMAKMURAN2,0.0,1.0,0.0,1.0,0.0,"Grant, BPD Link, Election"
113_baseline,29,10000.0,0,2,0.0,0,1,0,1,1,1,0.333333333,0.666666667,baseline,0.10005263199999999,0.642857143,29.4047619,baseline,33.80952381,247,284,28,101033000000.0,64,0,192,0,baseline,0.0,0.0,113,0.0,50.0,,2.0,273333.333,4.666666667,58571.4285,2.777777778,2.333333333,2.833333333,2.833333333,2.833333333,2.708333333,6.666666667,42.77777778,baseline,44000.0,101000000000.0,BREBES,SONGGOM,SDN DK MAJA 03,0.0,0.0,0.0,0.0,1.0,Grant
113_endline,30,3750000.0,0,2,52500.0,1,0,1,1,0,1,0.0,0.333333333,endline,0.3010875,0.44047619,41.11111111,endline,36.11111111,370,325,30,101033000000.0,54,0,162,0,endline,0.0,0.0,113,0.333333333,183.33333330000002,,5.0,460766.6667,5.0,92153.33334,3,2.833333333,2.0,3.0,3.0,2.708333333,3,41.16666667,endline,10000.0,101000000000.0,BREBES,SONGGOM,SDN DK MAJA 03,0.0,0.0,0.0,0.0,1.0,Grant
114_baseline,31,0.0,1,2,0.0,0,1,1,1,0,1,0.0,0.666666667,baseline,0.3,0.595238095,25.33333333,baseline,32.66666667,152,196,20,101033000000.0,20,0,82,0,baseline,0.0,0.0,114,0.0,166.66666669999998,,8.333333332999999,583333.333,6.666666667,87499.99995,2.333333333,1.888888889,2.833333333,3.0,2.833333333,2.638888889,4.5,34.83333333,baseline,20500.0,101000000000.0,BREBES,SONGGOM,SDCENANG 04,0.0,1.0,1.0,1.0,1.0,"Grant, Election, BPD Link, Training"
114_endline,32,0.0,0,2,0.0,0,0,0,0,0,0,0.333333333,1.0,endline,0.1,0.083333333,31.04166667,endline,17.91666667,149,86,16,101033000000.0,25,0,75,0,endline,0.0,0.0,114,0.0,266.6666667,,18.33333333,1205555.3329999999,8.333333332999999,144666.64,2.444444444,2.5,2.0,0.0,2.666666667,1.7916666669999999,12,38.66666667,endline,53000.0,101000000000.0,BREBES,SONGGOM,SDCENANG 04,0.0,1.0,1.0,1.0,1.0,"Grant, Election, BPD Link, Training"
115_baseline,33,0.0,0,2,0.0,0,0,0,1,0,1,0.0,4.0,baseline,0.1,0.428571429,37.28395062,baseline,46.79012346,302,379,27,101033000000.0,29,0,90,0,baseline,0.0,0.0,115,0.666666667,633.3333332999999,,18.33333333,155555.5555,5.0,31111.11111,2.888888889,2.833333333,2.666666667,3.0,3.0,2.875,7.75,38.0,baseline,0.0,101000000000.0,BREBES,SONGGOM,SDN KEMAKMURAN01,0.0,0.0,0.0,1.0,1.0,"Grant, BPD Link"
115_endline,34,0.0,0,2,30000.0,0,0,0,0,1,1,0.333333333,2.285714286,endline,0.1006,0.414965986,30.83333333,endline,23.75,222,171,24,101033000000.0,31,0,86,0,endline,0.0,0.0,115,0.0,950.0,,10.0,683000.0,5.333333333,128062.5,2.888888889,3.0,0.0,2.166666667,3.166666667,2.083333334,8.666666667,40.14285714,endline,0.0,101000000000.0,BREBES,SONGGOM,SDN KEMAKMURAN01,0.0,0.0,0.0,1.0,1.0,"Grant, BPD Link"
